,season,constructorId,name,nationality
529,1979,fittipaldi,Fittipaldi,Brazilian
530,1979,kauhsen,Kauhsen,German
531,1979,ligier,Ligier,French
532,1979,mclaren,McLaren,British
533,1979,merzario,Merzario,Italian
534,1979,rebaque,Rebaque,Mexican
535,1979,renault,Renault,French
536,1979,shadow,Shadow,British
537,1979,team_lotus,Team Lotus,British
538,1979,tyrrell,Tyrrell,British
539,1979,williams,Williams,British
540,1979,wolf,Wolf,Canadian
541,1980,alfa,Alfa Romeo,Swiss
542,1980,arrows,Arrows,British
543,1980,ats,ATS,Italian
544,1980,brabham,Brabham,British
545,1980,ensign,Ensign,British
546,1980,ferrari,Ferrari,Italian
547,1980,fittipaldi,Fittipaldi,Brazilian
548,1980,ligier,Ligier,French
549,1980,mclaren,McLaren,British
550,1980,osella,Osella,Italian
551,1980,renault,Renault,French
552,1980,shadow,Shadow,British
553,1980,team_lotus,Team Lotus,British
554,1980,tyrrell,Tyrrell,British
555,1980,williams,Williams,British
556,1981,alfa,Alfa Romeo,Swiss
557,1981,arrows,Arrows,British
558,1981,ats,ATS,Italian
559,1981,brabham,Brabham,British
560,1981,ensign,Ensign,British
561,1981,ferrari,Ferrari,Italian
562,1981,fittipaldi,Fittipaldi,Brazilian
563,1981,ligier,Ligier,French
564,1981,march,March,British
565,1981,mclaren,McLaren,British
566,1981,osella,Osella,Italian
567,1981,renault,Renault,French
568,1981,team_lotus,Team Lotus,British
569,1981,theodore,Theodore,Hong Kong
570,1981,toleman,Toleman,British
571,1981,tyrrell,Tyrrell,British
572,1981,williams,Williams,British
573,1982,alfa,Alfa Romeo,Swiss
574,1982,arrows,Arrows,British
575,1982,ats,ATS,Italian
576,1982,brabham,Brabham,British
577,1982,ensign,Ensign,British
578,1982,ferrari,Ferrari,Italian
579,1982,fittipaldi,Fittipaldi,Brazilian
580,1982,ligier,Ligier,French
581,1982,march,March,British
582,1982,mclaren,McLaren,British
583,1982,osella,Osella,Italian
584,1982,renault,Renault,French
585,1982,team_lotus,Team Lotus,British
586,1982,theodore,Theodore,Hong Kong
587,1982,toleman,Toleman,British
588,1982,tyrrell,Tyrrell,British
589,1982,williams,Williams,British
590,1983,alfa,Alfa Romeo,Swiss
591,1983,arrows,Arrows,British
592,1983,ats,ATS,Italian
593,1983,brabham,Brabham,British
594,1983,ferrari,Ferrari,Italian
595,1983,ligier,Ligier,French
596,1983,mclaren,McLaren,British
597,1983,osella,Osella,Italian
598,1983,ram,RAM,British
599,1983,renault,Renault,French
600,1983,spirit,Spirit,British
601,1983,team_lotus,Team Lotus,British
602,1983,theodore,Theodore,Hong Kong
603,1983,toleman,Toleman,British
604,1983,tyrrell,Tyrrell,British
605,1983,williams,Williams,British
606,1984,alfa,Alfa Romeo,Swiss
607,1984,arrows,Arrows,British
608,1984,ats,ATS,Italian
609,1984,brabham,Brabham,British
610,1984,ferrari,Ferrari,Italian
611,1984,ligier,Ligier,French
612,1984,mclaren,McLaren,British
613,1984,osella,Osella,Italian
614,1984,ram,RAM,British
615,1984,renault,Renault,French
616,1984,spirit,Spirit,British
617,1984,team_lotus,Team Lotus,British
618,1984,toleman,Toleman,British
619,1984,tyrrell,Tyrrell,British
620,1984,williams,Williams,British
621,1985,alfa,Alfa Romeo,Swiss
622,1985,arrows,Arrows,British
623,1985,brabham,Brabham,British
624,1985,ferrari,Ferrari,Italian
625,1985,ligier,Ligier,French
626,1985,lola,Lola,British
627,1985,mclaren,McLaren,British
628,1985,minardi,Minardi,Italian
629,1985,osella,Osella,Italian
630,1985,ram,RAM,British
631,1985,renault,Renault,French
632,1985,spirit,Spirit,British
633,1985,team_lotus,Team Lotus,British
634,1985,toleman,Toleman,British
635,1985,tyrrell,Tyrrell,British
636,1985,williams,Williams,British
637,1985,zakspeed,Zakspeed,German
638,1986,ags,AGS,French
639,1986,arrows,Arrows,British
640,1986,benetton,Benetton,Italian
641,1986,brabham,Brabham,British
642,1986,ferrari,Ferrari,Italian
643,1986,ligier,Ligier,French
644,1986,lola,Lola,British
645,1986,mclaren,McLaren,British
646,1986,minardi,Minardi,Italian
647,1986,osella,Osella,Italian
648,1986,team_lotus,Team Lotus,British
649,1986,tyrrell,Tyrrell,British
650,1986,williams,Williams,British
651,1986,zakspeed,Zakspeed,German
652,1987,ags,AGS,French
653,1987,arrows,Arrows,British
654,1987,benetton,Benetton,Italian
655,1987,brabham,Brabham,British
656,1987,coloni,Coloni,Italian
657,1987,ferrari,Ferrari,Italian
658,1987,larrousse,Larrousse,French
659,1987,ligier,Ligier,French
660,1987,march,March,British
661,1987,mclaren,McLaren,British
662,1987,minardi,Minardi,Italian
663,1987,osella,Osella,Italian
664,1987,team_lotus,Team Lotus,British
665,1987,tyrrell,Tyrrell,British
666,1987,williams,Williams,British
667,1987,zakspeed,Zakspeed,German
668,1988,ags,AGS,French
669,1988,arrows,Arrows,British
670,1988,benetton,Benetton,Italian
671,1988,coloni,Coloni,Italian
672,1988,dallara,Dallara,Italian
673,1988,eurobrun,Euro Brun,Italian
674,1988,ferrari,Ferrari,Italian
675,1988,larrousse,Larrousse,French
676,1988,ligier,Ligier,French
677,1988,march,March,British
678,1988,mclaren,McLaren,British
679,1988,minardi,Minardi,Italian
680,1988,osella,Osella,Italian
681,1988,rial,Rial,German
682,1988,team_lotus,Team Lotus,British
683,1988,tyrrell,Tyrrell,British
684,1988,williams,Williams,British
685,1988,zakspeed,Zakspeed,German
686,1989,ags,AGS,French
687,1989,arrows,Arrows,British
688,1989,benetton,Benetton,Italian
689,1989,brabham,Brabham,British
690,1989,coloni,Coloni,Italian
691,1989,dallara,Dallara,Italian
692,1989,eurobrun,Euro Brun,Italian
693,1989,ferrari,Ferrari,Italian
694,1989,larrousse,Larrousse,French
695,1989,ligier,Ligier,French
696,1989,march,March,British
697,1989,mclaren,McLaren,British
698,1989,minardi,Minardi,Italian
699,1989,onyx,Onyx,British
700,1989,osella,Osella,Italian
701,1989,rial,Rial,German
702,1989,team_lotus,Team Lotus,British
703,1989,tyrrell,Tyrrell,British
704,1989,williams,Williams,British
705,1989,zakspeed,Zakspeed,German
706,1990,ags,AGS,French
707,1990,arrows,Arrows,British
708,1990,benetton,Benetton,Italian
709,1990,brabham,Brabham,British
710,1990,coloni,Coloni,Italian
711,1990,dallara,Dallara,Italian
712,1990,eurobrun,Euro Brun,Italian
713,1990,ferrari,Ferrari,Italian
714,1990,larrousse,Larrousse,French
715,1990,leyton,Leyton House,British
716,1990,life,Life,Italian
717,1990,ligier,Ligier,French
718,1990,mclaren,McLaren,British
719,1990,minardi,Minardi,Italian
720,1990,onyx,Onyx,British
721,1990,osella,Osella,Italian
722,1990,team_lotus,Team Lotus,British
723,1990,tyrrell,Tyrrell,British
724,1990,williams,Williams,British
725,1991,ags,AGS,French
726,1991,benetton,Benetton,Italian
727,1991,brabham,Brabham,British
728,1991,coloni,Coloni,Italian
729,1991,dallara,Dallara,Italian
730,1991,ferrari,Ferrari,Italian
731,1991,fondmetal,Fondmetal,Italian
732,1991,footwork,Footwork,British
733,1991,jordan,Jordan,Irish
734,1991,lambo,Lambo,Italian
735,1991,larrousse,Larrousse,French
736,1991,leyton,Leyton House,British
